Feedback_ID,Date,Teacher_Name,Category,Title,Description,Priority,Theme
USF030,2024-12-16,Chloe Adams,Issue,Clicking through screens is exhausting,Open Assignments -> Click Create -> Select Content -> Open Differentiation -> Configure -> Assign -> Publish. Too many screens!,Critical,Too many clicks
USF031,2024-12-16,Raj Gupta,Feature Request,Offline mode needed,Need ability to grade when internet connection is spotty,Medium,Missing feature
USF032,2024-12-17,Isabella Romano,Issue,Wasted an hour on configuration,Lost an entire prep period trying to configure differentiation. Students got undifferentiated work because I ran out of time.,Critical,Time consuming
USF033,2024-12-17,Kevin O'Brien,Positive,Love the analytics dashboard,Data visualization of class performance is really well done,Low,Other
USF034,2024-12-18,Layla Ahmed,Bug,UI elements overlap on Configure Levels,On my laptop the configuration options overlap making it impossible to select the right levels.,High,Confusing UI
USF035,2024-12-18,Noah Williams,Issue,Multi-step process is a dealbreaker,If configuring differentiation continues to require this many steps I'll go back to paper worksheets.,Critical,Too many clicks
USF036,2024-12-19,Zara Khan,Feature Request,Templates for differentiation levels,Would love pre-set level configurations I can reuse,Low,Missing feature
USF037,2024-12-19,Lucas Fernandez,Issue,Minutes turn into hours,Setting up one week of differentiated assignments takes me 2+ hours. This needs to be 30 minutes max.,Critical,Time consuming
USF038,2024-12-20,Mia Anderson,Positive,Student portfolio feature excellent,Digital portfolios showcase student growth beautifully,Low,Other
USF039,2024-12-20,Ibrahim Youssef,Issue,Group assignment UI is counterintuitive,The mental model for assigning levels to groups doesn't match how teachers think about differentiation.,High,Confusing UI
USF040,2024-12-20,Sophia Nguyen,Issue,Navigation requires too many clicks,Getting lost in the navigation between Configure Levels and Assign to Groups. Too many clicks to go back and forth.,High,Too many clicks
